,A,B,C,D,E,Y
0,9,1,0,2,1,1
1,82,2,0,3,0,2
2,60,1,3,1,1,2
3,105,0,0,2,3,2
4,111,0,0,2,1,1
5,79,2,0,2,1,1
6,123,2,3,1,3,2
7,35,1,1,0,0,0
8,103,2,1,0,0,0
9,80,0,1,0,0,0
10,120,1,1,2,3,2
11,92,0,0,1,0,0
12,59,1,0,1,1,1
13,7,1,3,0,3,2
14,19,0,0,2,2,0
15,84,2,1,0,1,1
16,49,0,1,0,0,0
17,67,2,2,1,0,0
18,88,2,0,2,1,0
19,51,0,1,1,0,1
20,18,2,1,0,2,0
21,116,1,0,1,0,0
22,15,2,1,0,2,0
23,90,1,2,1,0,0
24,78,2,1,1,0,1
25,22,2,1,0,2,1
26,24,1,0,1,1,1
27,29,0,0,2,1,0
28,56,2,1,0,0,0
29,2,0,3,0,0,2
30,112,1,1,0,2,0
31,36,0,1,0,2,1
32,65,0,0,0,1,0
33,108,1,3,2,0,2
34,114,2,0,1,1,1
35,87,0,0,1,1,1
36,76,2,1,1,0,1
37,81,0,1,0,1,1
38,63,2,3,2,1,2
39,83,1,1,1,0,1
40,85,1,1,0,1,1
41,5,2,1,0,2,1
42,73,2,1,0,0,0
43,104,2,0,1,0,0
44,113,0,1,0,2,1
45,128,1,0,0,1,0
46,53,0,0,0,1,0
47,32,0,1,1,2,1
48,66,2,2,0,0,0
49,68,2,2,2,0,0
50,38,2,1,0,1,1
51,52,2,1,0,1,1
52,125,2,0,1,0,0
53,94,0,0,0,1,0
54,119,1,0,2,1,0
55,69,1,1,1,0,1
56,121,1,0,1,0,0
57,41,1,1,0,2,0
58,77,1,0,1,1,1
59,10,0,1,3,1,2
60,127,1,1,0,1,1
61,126,0,0,1,3,2
62,4,0,2,1,0,0
63,3,1,3,3,1,2
64,93,1,2,1,0,0
65,72,2,0,1,1,1
66,25,0,0,1,1,1
67,47,0,2,1,3,2
68,102,0,0,1,1,1
69,100,2,0,3,1,2
70,1,1,0,2,1,1
71,40,0,0,2,1,1
72,117,2,0,2,1,0
73,74,0,1,3,3,2
74,46,0,3,1,0,2
75,91,1,0,1,0,0
76,45,2,3,0,1,2
77,130,1,1,0,0,0
78,106,0,0,1,0,0
79,17,1,1,3,2,2
80,61,2,0,1,1,1
81,118,0,0,2,1,0
82,34,0,1,0,2,0
83,26,0,3,3,0,2
84,96,2,2,2,1,1
85,107,1,1,0,2,1
86,30,2,2,1,0,1
87,110,0,0,0,2,0
88,33,1,1,0,1,1
89,62,1,1,1,0,1
90,64,1,2,1,2,1
91,115,0,2,1,0,1
92,55,1,1,0,1,1
93,58,0,0,0,1,0
94,75,2,1,1,0,1
95,0,2,1,0,0,0
96,27,0,0,1,0,0
97,21,2,0,3,3,2
98,28,2,2,1,0,1
99,109,1,2,1,0,1
100,95,1,0,2,0,0
101,48,0,1,0,1,1
102,50,2,0,0,1,0
103,86,1,1,3,0,2
104,57,0,1,1,0,1
105,31,1,2,1,0,1
106,71,1,1,0,3,2
107,54,0,3,1,2,2
108,101,1,1,0,0,0
109,6,0,1,0,0,0
110,97,1,1,2,1,1
111,14,0,2,1,0,0
112,124,2,0,1,0,0
113,44,2,0,0,1,0
114,99,2,2,0,3,2
115,98,1,2,3,0,2
116,23,0,1,2,2,1
117,122,2,2,1,1,1
118,12,2,2,3,1,2
119,13,0,1,1,0,1
120,37,1,0,0,3,2
121,70,2,0,1,1,1
122,42,2,1,1,3,2
123,129,1,2,0,2,0
124,16,1,0,0,1,0
125,11,2,3,0,2,2
126,43,0,0,3,2,2
127,39,1,0,1,0,0
128,89,0,1,0,1,1
129,20,0,1,1,0,1
130,8,2,0,0,1,0
